title,price,description,image_url
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,1750,"This kundan meena set makes a case for minimal show, maximal style. Features a necklace crafted out of with a single string of kundan stones and red meena, topped with delicate bead drops and matching earrings. ",https://img.faballey.com/images/Product/ZNS00057/d3.jpg
Gold Bead Cluster Earring Neckace Set,1800,Dive into the festivities with this classic necklace set that spells tradition. Clusters of white beads are crafted together beautifully to form this delightful necklace set.,https://img.faballey.com/images/Product/ZNS00034/d3.jpg
Gold Kundan Red White Bead Earrimg Necklace Set,1750,"This red and white kundan set steals the show for its traditional opulence and modern elegance. Features a necklace and earrings made of pearls, red beads and kundan. ",https://img.faballey.com/images/Product/ZNS00036/d3.jpg
Gold Kundan Cascade Earring Necklace Set,2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with pearl drop beads and matching earrings ",https://img.faballey.com/images/Product/ZNS00039/d3.jpg
Dual Gold Kundan Pearl Earring Necklace Set,2000,"Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan, finished off with white pearl drops.",https://img.faballey.com/images/Product/ZNS00056/d3.jpg
Gold Kundan Multicolor Stone Earring Necklace Set,2000,"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads.",https://img.faballey.com/images/Product/ZNS00053/d3.jpg
Gold Kundan Aqua Stone Floral Pendant Necklace Set,1475,"Make a striking statement at the next cocktail-do with this gold-plated kundan pendant necklace set. The pendant, crafted with a long aqua blue stone and a kundan encrusted floral motif, comes with kundan floral stud earrings. ",https://img.faballey.com/images/Product/ZNS00062/d3.jpg
Gold Kundan Pearl Drop Earring Necklace Set,2375,If you love kundan but want to keep it simple and classy this should be your pick! Features a gold plated white kundan necklace with a single pearl drop bead in the centre along with dangler earrings ,https://img.faballey.com/images/Product/ZNS00017/d3.jpg
Blue Bead Kundan Earring Necklace Set,1750,Add color to your evening look with this green beaded piece. Features a double string of blue beads and kundan drops along with earrings ,https://img.faballey.com/images/Product/ZNS00050/d3.jpg
Gold Red Kundan Bead Earring Necklace Set,1600,If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings ,https://img.faballey.com/images/Product/ZNS00003/d3.jpg
Gold Textured Contemporary Choker Necklace Set,1100,Uplift your everyday neutrals with a simple addition of this gold-plated necklace set. It features a textured statement choker necklace with a pair of dangler earrings. ,https://img.faballey.com/images/Product/ZNS00070/d3.jpg
Gold Kundan Multi Pearl String Earring Necklace Set,2000,"A beautiful amalgamation of kundan and yellow pearls, this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan ",https://img.faballey.com/images/Product/ZNS00048/d3.jpg
Gold Kundan Dual Pearl Earring Necklace Set,2000,"Elegance takes form in this stunning kundan and pearl necklace set. Features a necklace crafted from strands of minute pearls, kundan stones and pearl drops, along with matching earrings",https://img.faballey.com/images/Product/ZNS00052/d3.jpg
White Diamond Aqua Drop Earring Necklace Set,2450,"Take the glamour quotient up a few notches with this aqua drop diamond set. Featuring an enchanting aqua stone drop on the necklace and earrings, this set is equal parts sizzling siren and sophisticated. ",https://img.faballey.com/images/Product/ZNS00013/d3.jpg
White Diamond Floral Bunch Earring Necklace Set,2750,A delicately detailed diamond set is a evening wear must-have. This diamond earring necklace set features a floral focal pendant. ,https://img.faballey.com/images/Product/ZNS00032/d3.jpg
White Blue Diamond Drop String Earring Necklace Set,2875,Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds. ,https://img.faballey.com/images/Product/ZNS00031/d3.jpg
Gold Green Kundan Bead Drop Earring Necklace Set,3750,Glam up this festive season with this stunner of a gold plated kundan set. Features a layered kundan necklace with a green drop along with matching dangler earrings ,https://img.faballey.com/images/Product/ZNS00018/d3.jpg
Gold Leaf Kundan Double Pearl Earrings Necklace Set,1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings",https://img.faballey.com/images/Product/ZNS00045/d3.jpg
Gold Maroon Kundan Floral Necklace Set,2250,Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings. ,https://img.faballey.com/images/Product/ZNS00058/d3.jpg
Gold Kundan Green Drop Pearl Earring Necklace Set,1750,"Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls, kundan and delicate green beads along with matching earrings. ",https://img.faballey.com/images/Product/ZNS00047/d3.jpg
Gold Kundan Pear Dainty Drop Earrings Necklace Set,1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings. ",https://img.faballey.com/images/Product/ZNS00046/d3.jpg
Gold Kundan Mangtika Earring Necklace Set,3500,Take your festive wardrobe up a notch with this ethereal kundan set. Features a gold plated white kundan set that comes with pearl drop kundan earrings and a mangtikka. ,https://img.faballey.com/images/Product/ZNS00002/d3.jpg
Gold Kundan Pearl Earring Necklace Set,2375,"Be it for a day wedding or a night soiree, this gold toned necklace and earring set can be your go-to. Features a necklace crafted of two strings of pearls and square shaped kundan stones along with earrings. ",https://img.faballey.com/images/Product/ZNS00044/d3.jpg
Gold Green Kundan Floral Pendant Necklace Set,2100,"Traditional kundan pieces get a strikingly glamorous update with this gold-plated floral pendant necklace set. The set features a floral pendant and stud earrings crafted with a beautiful mix of kundan, green beads and small crystals. ",https://img.faballey.com/images/Product/ZNS00063/d3.jpg
Gold Kundan Blue Bead Pearl Earring Necklace Set,1750,"Uplift your cocktail look with this white and blue beaded kundan set. Features a statement setting of pearls, blue beads and classic kundan along with dainty stud earrings ",https://img.faballey.com/images/Product/ZNS00042/d3.jpg
Gold Kundan Green Bead String Earring Necklace Set,2000,"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads.",https://img.faballey.com/images/Product/ZNS00049/d3.jpg
